village,asv_ID,host_ID,host_species,grid,season,reads,total_reads
Andatsakala,ASV_1,3885,Rattus rattus,agriculture,3,0.0475867269984917,13260
Andatsakala,ASV_1,3886,Rattus rattus,agriculture,3,0.018731161188459883,13934
Andatsakala,ASV_1,3887,Rattus rattus,agriculture,3,0.0269300991131977,15336
Andatsakala,ASV_1,3888,Rattus rattus,agriculture,3,0.06898539584934665,10408
Andatsakala,ASV_1,3889,Rattus rattus,agriculture,3,0.08024224072672217,13210
Andatsakala,ASV_1,3894,Rattus rattus,secondary_forest,3,0.02661409561360276,12174
Andatsakala,ASV_1,3895,Rattus rattus,secondary_forest,3,0.1048277204594121,10274
Andatsakala,ASV_1,3897,Rattus rattus,secondary_forest,3,0.020023425734842993,17929
Andatsakala,ASV_1,3898,Rattus rattus,secondary_forest,3,0.2551310132230064,24654
Andatsakala,ASV_1,3899,Rattus rattus,secondary_forest,3,0.019403667394727486,19687
Andatsakala,ASV_1,3904,Rattus rattus,secondary_forest,3,0.02102645263395885,13269
Andatsakala,ASV_1,3906,Rattus rattus,secondary_forest,3,0.15211601065403965,6758
Andatsakala,ASV_1,3907,Rattus rattus,secondary_forest,3,0.030874064103642636,11887
Andatsakala,ASV_1,3908,Rattus rattus,secondary_forest,3,0.395516717325228,21056
Andatsakala,ASV_1,3909,Rattus rattus,secondary_forest,3,0.6329002674818495,26170
Andatsakala,ASV_1,3910,Rattus rattus,secondary_forest,3,0.01434748427672956,15264
Andatsakala,ASV_1,3911,Rattus rattus,secondary_forest,3,0.018634826420042792,14489
Andatsakala,ASV_1,3912,Rattus rattus,secondary_forest,3,0.009280069600522004,13793
Andatsakala,ASV_1,3914,Rattus rattus,secondary_forest,3,0.16948762233736328,8685
Andatsakala,ASV_1,3915,Rattus rattus,secondary_forest,3,0.02969195466240178,14381
Andatsakala,ASV_1,3916,Rattus rattus,secondary_forest,3,0.06294448572338393,18842
Andatsakala,ASV_1,3917,Rattus rattus,secondary_forest,3,0.010804174340085942,16290
Andatsakala,ASV_1,3918,Rattus rattus,secondary_forest,3,0.17291705154258266,16239
Andatsakala,ASV_1,3919,Rattus rattus,secondary_forest,3,0.10536692223439212,18260
Andatsakala,ASV_1,3928,Rattus rattus,secondary_forest,3,0.01895991332611051,14768
Andatsakala,ASV_1,3929,Rattus rattus,secondary_forest,3,0.009133858267716535,9525
Andatsakala,ASV_1,3937,Rattus rattus,semi-intact_forest,3,0.10219387755102041,19600
Andatsakala,ASV_1,3945,Rattus rattus,flooded_rice,3,0.26525047279764263,22737
Andatsakala,ASV_1,3948,Rattus rattus,flooded_rice,3,0.09889250030095101,16614
Andatsakala,ASV_1,3959,Rattus rattus,village,3,0.010635924135366306,13445
Andatsakala,ASV_1,3960,Rattus rattus,village,3,0.05912914398812469,8084
Andatsakala,ASV_1,3962,Rattus rattus,village,3,0.048083057827272194,17241
Andatsakala,ASV_1,3966,Rattus rattus,flooded_rice,3,0.031983178397521024,18072
Andatsakala,ASV_1,3968,Rattus rattus,village,3,0.07198636381654576,25227
Andatsakala,ASV_1,3969,Rattus rattus,village,3,0.03338963232428219,15394
Andatsakala,ASV_1,3970,Rattus rattus,village,3,0.04663247401808611,14818
Andatsakala,ASV_1,3972,Rattus rattus,village,3,0.012885802469135803,12960
Andatsakala,ASV_1,3973,Rattus rattus,village,3,0.4724606405414684,20389
Andatsakala,ASV_1,3974,Rattus rattus,village,3,0.0969561574979056,17905
Andatsakala,ASV_1,3975,Rattus rattus,village,3,0.02115528882220555,13330
Andatsakala,ASV_1,3980,Rattus rattus,village,3,0.033525448494195954,24638
Andatsakala,ASV_1,3981,Rattus rattus,village,3,0.22359689573726238,17782
Andatsakala,ASV_1,3986,Rattus rattus,village,3,0.007861846526004568,14882
Andatsakala,ASV_1,3987,Rattus rattus,village,3,0.07632669429220693,14962
Andatsakala,ASV_1,3988,Rattus rattus,village,3,0.14729071100917432,13952
Andatsakala,ASV_1,3995,Rattus rattus,agroforest,3,0.00984553708289117,16962
Andatsakala,ASV_1,3997,Rattus rattus,agroforest,3,0.01223091976516634,12264
Andatsakala,ASV_1,3999,Rattus rattus,agroforest,3,0.026517571884984027,9390
Andatsakala,ASV_1,4004,Rattus rattus,village,3,0.011499658002735978,23392
Andatsakala,ASV_1,4007,Rattus rattus,agroforest,3,0.010019115417573,15171
Andatsakala,ASV_1,4008,Rattus rattus,agroforest,3,0.00923564683989248,14509
Andatsakala,ASV_1,4012,Rattus rattus,village,3,0.011148272017837236,10764
Andatsakala,ASV_1,4013,Rattus rattus,village,3,0.05697399527186761,16920
Andatsakala,ASV_1,4014,Rattus rattus,village,3,0.13141409164496376,28414
Andatsakala,ASV_1,4015,Rattus rattus,village,3,0.02838517414788601,26845
Andatsakala,ASV_1,4017,Rattus rattus,village,3,0.10025821829377296,20138
Andatsakala,ASV_1,4018,Rattus rattus,village,3,0.49936413734633317,21231
Andatsakala,ASV_1,4019,Rattus rattus,village,3,0.21096108022239873,6295
Andatsakala,ASV_1,4023,Rattus rattus,village,3,0.010204644492249986,18129
Andatsakala,ASV_1,4024,Rattus rattus,village,3,0.08071241362878247,16788
Andatsakala,ASV_1,4025,Rattus rattus,village,3,0.38924287856071965,21344
Andatsakala,ASV_1,4026,Rattus rattus,village,3,0.5818913285832001,20631
Andatsakala,ASV_1,4033,Rattus rattus,village,3,0.08341551610782381,12168
Andatsakala,ASV_1,4034,Rattus rattus,village,3,0.5661884873796985,5507
Andatsakala,ASV_1,4036,Rattus rattus,agroforest,3,0.12579254374841492,7886
Andatsakala,ASV_1,4037,Rattus rattus,village,3,0.01946950075913191,11197
Andatsakala,ASV_10,3502,Rattus rattus,brushy_regrowth,1,0.011833312050397992,46986
Andatsakala,ASV_10,3781,Rattus rattus,flooded_rice,2,0.11006100180427872,11639
Andatsakala,ASV_10,3825,Rattus rattus,flooded_rice,2,0.019719188767550702,16025
Andatsakala,ASV_10,3888,Rattus rattus,agriculture,3,0.1449846272098386,10408
Andatsakala,ASV_10,3904,Rattus rattus,secondary_forest,3,0.03594845127741352,13269
Andatsakala,ASV_100,3543,Rattus rattus,agriculture,1,0.011114360924246856,20514
Andatsakala,ASV_100,3558,Rattus rattus,secondary_forest,1,0.010351839300018486,16229
Andatsakala,ASV_100,3567,Rattus rattus,secondary_forest,1,0.0127508154591282,20234
Andatsakala,ASV_100,3593,Rattus rattus,agroforest,1,0.008661480471569493,12469
Andatsakala,ASV_100,3662,Rattus rattus,brushy_regrowth,2,0.030803979047527512,20809
Andatsakala,ASV_100,3673,Rattus rattus,brushy_regrowth,2,0.007263513513513514,11840
Andatsakala,ASV_100,3767,Rattus rattus,agroforest,2,0.015379581151832461,9168
Andatsakala,ASV_100,3778,Rattus rattus,flooded_rice,2,0.012419343648095469,14413
Andatsakala,ASV_100,3798,Rattus rattus,village,2,0.011042735042735043,29250
Andatsakala,ASV_100,3816,Rattus rattus,village,2,0.013382079050838104,14497
Andatsakala,ASV_100,3832,Rattus rattus,brushy_regrowth,3,0.010011123470522803,15283
Andatsakala,ASV_100,3872,Rattus rattus,agriculture,3,0.013702359346642469,11020
Andatsakala,ASV_100,3885,Rattus rattus,agriculture,3,0.0110105580693816,13260
Andatsakala,ASV_100,3904,Rattus rattus,secondary_forest,3,0.01205818072198357,13269
Andatsakala,ASV_100,3905,Rattus rattus,secondary_forest,3,0.011784606709895685,17735
Andatsakala,ASV_100,3910,Rattus rattus,secondary_forest,3,0.03046383647798742,15264
Andatsakala,ASV_100,3913,Rattus rattus,secondary_forest,3,0.01281168204986913,14518
Andatsakala,ASV_100,3914,Rattus rattus,secondary_forest,3,0.008175014392630972,8685
Andatsakala,ASV_100,3936,Rattus rattus,semi-intact_forest,3,0.010229103902473202,14273
Andatsakala,ASV_100,3969,Rattus rattus,village,3,0.013121995582694557,15394
Andatsakala,ASV_100,3972,Rattus rattus,village,3,0.015972222222222224,12960
Andatsakala,ASV_100,3996,Rattus rattus,agroforest,3,0.04201030927835052,11640
Andatsakala,ASV_100,3998,Rattus rattus,agroforest,3,0.02413793103448276,7250
Andatsakala,ASV_1001,3811,Rattus rattus,flooded_rice,2,0.008271397746343803,33368
Andatsakala,ASV_1001,3864,Rattus rattus,agriculture,3,0.014610204314575962,26283
Andatsakala,ASV_1001,3887,Rattus rattus,agriculture,3,0.009389671361502348,15336
