village,asv_ID,host_p,host_ID,host_species,grid,season,reads,total_reads
Mandena,ASV_10,0.6978021978021978,2529,Microgale brevicaudata,brushy_regrowth,3,0.021297418212321746,21458
Mandena,ASV_10,0.6978021978021978,2544,Microgale brevicaudata,agriculture,3,0.024871776856600858,14233
Mandena,ASV_10,0.6978021978021978,2578,Microgale brevicaudata,agriculture,3,0.0042656673576782,25084
Mandena,ASV_10,0.6978021978021978,2590,Microgale brevicaudata,agriculture,3,0.02162624473089376,16369
Mandena,ASV_10,0.6978021978021978,2592,Microgale brevicaudata,flooded_rice,3,0.011225895316804407,14520
Mandena,ASV_10,0.6978021978021978,2625,Microgale brevicaudata,flooded_rice,3,0.005778690481875925,20939
Mandena,ASV_10,0.6978021978021978,2637,Microgale brevicaudata,flooded_rice,3,0.09093648004017073,19915
Mandena,ASV_10,0.6978021978021978,2649,Microgale brevicaudata,secondary_forest,3,0.07744265678502744,21319
Mandena,ASV_10,0.6978021978021978,2654,Microgale brevicaudata,secondary_forest,3,0.002372285165037425,24449
Mandena,ASV_10,0.6978021978021978,2655,Microgale brevicaudata,secondary_forest,3,0.0016293764654452968,25163
Mandena,ASV_10,0.6978021978021978,2656,Microgale brevicaudata,secondary_forest,3,0.006908927770300583,11145
Mandena,ASV_10,0.6978021978021978,2663,Microgale brevicaudata,secondary_forest,3,0.013999706299867834,20429
Mandena,ASV_10,0.6978021978021978,2664,Microgale brevicaudata,secondary_forest,3,0.03245514539080223,38792
Mandena,ASV_10,0.6978021978021978,2677,Microgale brevicaudata,semi-intact_forest,3,0.02733665533460625,21473
Mandena,ASV_10,0.6978021978021978,2681,Microgale brevicaudata,semi-intact_forest,3,0.0018026924083389061,34393
Mandena,ASV_10,0.6978021978021978,2688,Microgale brevicaudata,semi-intact_forest,3,0.007452798940046373,12076
Mandena,ASV_10,0.6978021978021978,2689,Microgale brevicaudata,semi-intact_forest,3,0.003670446352493937,15257
Mandena,ASV_10,0.6978021978021978,2693,Microgale brevicaudata,semi-intact_forest,3,0.0029061969060180633,22366
Mandena,ASV_10,0.6978021978021978,2727,Microgale brevicaudata,agroforest,3,0.20234908494946735,18305
Mandena,ASV_10,0.6978021978021978,2729,Microgale brevicaudata,agroforest,3,0.017105263157894738,24320
Mandena,ASV_10,0.6978021978021978,2761,Microgale brevicaudata,agroforest,3,0.007671971385620238,19291
Mandena,ASV_10,0.6978021978021978,2767,Microgale brevicaudata,agroforest,3,0.002602020202020202,61875
Mandena,ASV_1000,0.016483516483516484,2305,Microgale brevicaudata,agriculture,2,0.0023595380857206307,36024
Mandena,ASV_1000,0.016483516483516484,2308,Microgale brevicaudata,agriculture,2,0.013714285714285714,20125
Mandena,ASV_1000,0.016483516483516484,2309,Microgale brevicaudata,agriculture,2,0.004439206442742093,25455
Mandena,ASV_10021,0.01098901098901099,2394,Microgale brevicaudata,flooded_rice,2,0.002338663801276784,15821
Mandena,ASV_10021,0.01098901098901099,2401,Microgale brevicaudata,flooded_rice,2,0.0015114873035066505,9924
Mandena,ASV_10037,0.01098901098901099,2125,Microgale brevicaudata,secondary_forest,1,0.002144018926511903,13526
Mandena,ASV_10037,0.01098901098901099,2402,Microgale brevicaudata,flooded_rice,2,0.0017608329505435615,13062
Mandena,ASV_101,0.01098901098901099,2131,Microgale brevicaudata,secondary_forest,1,0.0208915502328676,7515
Mandena,ASV_101,0.01098901098901099,2137,Microgale brevicaudata,semi-intact_forest,1,0.003332906037687476,7801
Mandena,ASV_1012,0.038461538461538464,2043,Microgale brevicaudata,agriculture,1,0.00236275191104934,28780
Mandena,ASV_1012,0.038461538461538464,2147,Microgale brevicaudata,flooded_rice,1,0.11472338549702446,18148
Mandena,ASV_1012,0.038461538461538464,2348,Microgale brevicaudata,secondary_forest,2,0.0018366770274088726,28312
Mandena,ASV_1012,0.038461538461538464,2372,Microgale brevicaudata,semi-intact_forest,2,0.001430855988553152,23762
Mandena,ASV_1012,0.038461538461538464,2592,Microgale brevicaudata,flooded_rice,3,0.14194214876033057,14520
Mandena,ASV_1012,0.038461538461538464,2729,Microgale brevicaudata,agroforest,3,0.005838815789473684,24320
Mandena,ASV_1012,0.038461538461538464,2761,Microgale brevicaudata,agroforest,3,0.001503291690425587,19291
Mandena,ASV_1013,0.01098901098901099,2309,Microgale brevicaudata,agriculture,2,0.0014535454724022786,25455
Mandena,ASV_1013,0.01098901098901099,2635,Microgale brevicaudata,flooded_rice,3,0.005296500155779417,19258
Mandena,ASV_10182,0.01098901098901099,2234,Microgale brevicaudata,agroforest,1,0.001460706982179375,13692
Mandena,ASV_10182,0.01098901098901099,2590,Microgale brevicaudata,agriculture,3,0.0018327326043130307,16369
Mandena,ASV_10191,0.01098901098901099,2234,Microgale brevicaudata,agroforest,1,0.002044989775051125,13692
Mandena,ASV_1020,0.04945054945054945,2244,Microgale brevicaudata,agroforest,1,0.0011921458625525946,14260
Mandena,ASV_1020,0.04945054945054945,2349,Microgale brevicaudata,secondary_forest,2,0.10385720398557369,16359
Mandena,ASV_1020,0.04945054945054945,2373,Microgale brevicaudata,semi-intact_forest,2,0.002268911376321641,22037
Mandena,ASV_1020,0.04945054945054945,2406,Microgale brevicaudata,flooded_rice,2,0.005605184795936241,17127
Mandena,ASV_1020,0.04945054945054945,2412,Microgale brevicaudata,flooded_rice,2,0.003090930873367677,41735
Mandena,ASV_1020,0.04945054945054945,2421,Microgale brevicaudata,flooded_rice,2,0.002857613892399846,18197
Mandena,ASV_1020,0.04945054945054945,2441,Microgale brevicaudata,agroforest,2,0.004102984921530413,19498
Mandena,ASV_1020,0.04945054945054945,2544,Microgale brevicaudata,agriculture,3,0.01756481416426614,14233
Mandena,ASV_1020,0.04945054945054945,2654,Microgale brevicaudata,secondary_forest,3,0.0046627673933494216,24449
Mandena,ASV_1025,0.01098901098901099,2327,Microgale brevicaudata,agriculture,2,0.001462563987174439,17777
Mandena,ASV_1025,0.01098901098901099,2635,Microgale brevicaudata,flooded_rice,3,0.0022847647730813167,19258
Mandena,ASV_1026,0.016483516483516484,2110,Microgale brevicaudata,secondary_forest,1,0.00859708335986754,15703
Mandena,ASV_1026,0.016483516483516484,2150,Microgale brevicaudata,flooded_rice,1,0.0010973435142426044,21871
Mandena,ASV_1026,0.016483516483516484,2359,Microgale brevicaudata,secondary_forest,2,0.2462421809354869,21422
Mandena,ASV_10342,0.01098901098901099,2125,Microgale brevicaudata,secondary_forest,1,0.0013307703681798015,13526
Mandena,ASV_10342,0.01098901098901099,2402,Microgale brevicaudata,flooded_rice,2,0.0016842749961721022,13062
Mandena,ASV_10346,0.01098901098901099,2125,Microgale brevicaudata,secondary_forest,1,0.0017004288037853023,13526
Mandena,ASV_10346,0.01098901098901099,2402,Microgale brevicaudata,flooded_rice,2,0.0019139488592864798,13062
Mandena,ASV_104,0.2692307692307692,2026,Microgale brevicaudata,brushy_regrowth,1,0.059922235546349796,27519
Mandena,ASV_104,0.2692307692307692,2033,Microgale brevicaudata,brushy_regrowth,1,0.04171011470281544,11508
Mandena,ASV_104,0.2692307692307692,2035,Microgale brevicaudata,brushy_regrowth,1,0.005677587490692479,21488
Mandena,ASV_104,0.2692307692307692,2036,Microgale brevicaudata,brushy_regrowth,1,0.002290143574385625,22706
Mandena,ASV_104,0.2692307692307692,2043,Microgale brevicaudata,agriculture,1,0.03822098679638638,28780
Mandena,ASV_104,0.2692307692307692,2045,Microgale brevicaudata,agriculture,1,0.0029228286000959735,22923
Mandena,ASV_104,0.2692307692307692,2057,Microgale brevicaudata,agriculture,1,0.003697006228651798,24885
Mandena,ASV_104,0.2692307692307692,2115,Microgale brevicaudata,secondary_forest,1,0.02023146921106105,11319
Mandena,ASV_104,0.2692307692307692,2120,Microgale brevicaudata,secondary_forest,1,0.039914006408956315,24653
Mandena,ASV_104,0.2692307692307692,2125,Microgale brevicaudata,secondary_forest,1,0.011385479816649415,13526
Mandena,ASV_104,0.2692307692307692,2132,Microgale brevicaudata,semi-intact_forest,1,0.006819215032580694,32995
Mandena,ASV_104,0.2692307692307692,2150,Microgale brevicaudata,flooded_rice,1,0.008001463124685656,21871
Mandena,ASV_104,0.2692307692307692,2173,Microgale brevicaudata,flooded_rice,1,0.0021670278379729954,83986
Mandena,ASV_104,0.2692307692307692,2245,Microgale brevicaudata,agroforest,1,0.006114872242847783,13737
Mandena,ASV_104,0.2692307692307692,2255,Microgale brevicaudata,brushy_regrowth,2,0.01622860715309073,38389
Mandena,ASV_104,0.2692307692307692,2264,Microgale brevicaudata,brushy_regrowth,2,0.0014226250065862269,18979
Mandena,ASV_104,0.2692307692307692,2265,Microgale brevicaudata,brushy_regrowth,2,0.006474115482930792,41859
Mandena,ASV_104,0.2692307692307692,2267,Microgale brevicaudata,brushy_regrowth,2,0.7750380517503805,32850
Mandena,ASV_104,0.2692307692307692,2273,Microgale brevicaudata,brushy_regrowth,2,0.008787075291360918,32434
Mandena,ASV_104,0.2692307692307692,2281,Microgale brevicaudata,brushy_regrowth,2,0.011173947490642846,36603
Mandena,ASV_104,0.2692307692307692,2284,Microgale brevicaudata,brushy_regrowth,2,0.0029506012246581425,31519
Mandena,ASV_104,0.2692307692307692,2319,Microgale brevicaudata,agriculture,2,0.0055462124736107635,27947
Mandena,ASV_104,0.2692307692307692,2345,Microgale brevicaudata,secondary_forest,2,0.018385140257771035,26380
Mandena,ASV_104,0.2692307692307692,2346,Microgale brevicaudata,secondary_forest,2,0.0023578417888159707,25447
Mandena,ASV_104,0.2692307692307692,2348,Microgale brevicaudata,secondary_forest,2,0.03895874540830743,28312
Mandena,ASV_104,0.2692307692307692,2352,Microgale brevicaudata,secondary_forest,2,0.006326279252043443,17862
Mandena,ASV_104,0.2692307692307692,2359,Microgale brevicaudata,secondary_forest,2,0.005274950984968723,21422
Mandena,ASV_104,0.2692307692307692,2371,Microgale brevicaudata,semi-intact_forest,2,0.0069550390379610515,22286
Mandena,ASV_104,0.2692307692307692,2373,Microgale brevicaudata,semi-intact_forest,2,0.014838680401143532,22037
Mandena,ASV_104,0.2692307692307692,2374,Microgale brevicaudata,semi-intact_forest,2,0.04594760171537713,27749
Mandena,ASV_104,0.2692307692307692,2387,Microgale brevicaudata,flooded_rice,2,0.008134539804405448,10941
