village,asv_ID,host_p,host_ID,host_species,grid,season,reads,total_reads,asv_core,asv_degree,asv_group,host_group
Andatsakala,ASV_1,0.7948717948717948,3790,Rattus rattus,village,2,0.4533263741116955,24907,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3791,Rattus rattus,village,2,0.01838915756164547,16749,Core,184,3,8
Andatsakala,ASV_1,0.7948717948717948,3798,Rattus rattus,village,2,0.00752269779507133,38550,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3800,Rattus rattus,village,2,0.00392247346562067,17336,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3802,Rattus rattus,village,2,0.01044141553082405,15994,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3807,Rattus rattus,flooded_rice,2,0.18855218855218855,16632,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3811,Rattus rattus,flooded_rice,2,0.05472551499431952,46651,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3817,Rattus rattus,village,2,0.5676886279626004,22995,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3820,Rattus rattus,village,2,0.4703520110434838,15937,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3822,Rattus rattus,flooded_rice,2,0.7801014780498566,22665,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3825,Rattus rattus,flooded_rice,2,0.00814068543671854,22234,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3830,Rattus rattus,brushy_regrowth,3,0.00974538466817651,14571,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3831,Rattus rattus,brushy_regrowth,3,0.02076175159002851,13679,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3833,Rattus rattus,brushy_regrowth,3,0.00272588258759391,15041,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3834,Rattus rattus,brushy_regrowth,3,0.02679226816735992,16348,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3838,Rattus rattus,brushy_regrowth,3,0.02334440320375073,20476,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3839,Rattus rattus,brushy_regrowth,3,0.4312197967005499,24004,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3844,Rattus rattus,brushy_regrowth,3,0.08603988603988603,24570,Core,184,3,4
Andatsakala,ASV_1,0.7948717948717948,3845,Rattus rattus,brushy_regrowth,3,0.00370929209103482,15906,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3851,Rattus rattus,brushy_regrowth,3,0.09786774098457306,20354,Core,184,3,9
Andatsakala,ASV_1,0.7948717948717948,3852,Rattus rattus,brushy_regrowth,3,0.00110757969758258,20765.999999999996,Core,184,3,7
Andatsakala,ASV_1,0.7948717948717948,3864,Rattus rattus,agriculture,3,0.03159685863874345,38200,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3869,Rattus rattus,agriculture,3,0.00112732095490716,15080,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3872,Rattus rattus,agriculture,3,0.01301057433132904,19292,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3873,Rattus rattus,agriculture,3,0.17424970899337014,19759,Core,184,3,9
Andatsakala,ASV_1,0.7948717948717948,3874,Rattus rattus,agriculture,3,0.05302851755833137,16972,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3875,Rattus rattus,agriculture,3,0.00548636637954682,18227,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3876,Rattus rattus,agriculture,3,0.2675546635039382,32883,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3877,Rattus rattus,agriculture,3,0.07815476190476191,16800,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3878,Rattus rattus,agriculture,3,0.06708366808217606,17426,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3885,Rattus rattus,agriculture,3,0.03223828743677515,19573,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3886,Rattus rattus,agriculture,3,0.01247788879858488,20917,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3887,Rattus rattus,agriculture,3,0.01956233421750662,21112,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3888,Rattus rattus,agriculture,3,0.06379953794206504,11254,Core,184,3,11
Andatsakala,ASV_1,0.7948717948717948,3889,Rattus rattus,agriculture,3,0.05960749029972445,17783,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3894,Rattus rattus,secondary_forest,3,0.02128917800118273,15219,Core,184,3,10
Andatsakala,ASV_1,0.7948717948717948,3895,Rattus rattus,secondary_forest,3,0.0824718584883988,13059,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3896,Rattus rattus,secondary_forest,3,0.0037248028045574,18256,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3897,Rattus rattus,secondary_forest,3,0.01795179517951795,19998,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3898,Rattus rattus,secondary_forest,3,0.225270396103431,27922,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3899,Rattus rattus,secondary_forest,3,0.01611406395005484,23706,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3900,Rattus rattus,secondary_forest,3,0.00199104031856645,22099,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3903,Rattus rattus,secondary_forest,3,0.00467984604618614,22864,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3904,Rattus rattus,secondary_forest,3,0.0141051567239636,19780,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3906,Rattus rattus,secondary_forest,3,0.1235428434082442,8321,Core,184,3,10
Andatsakala,ASV_1,0.7948717948717948,3907,Rattus rattus,secondary_forest,3,0.02515249126173668,14591,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3908,Rattus rattus,secondary_forest,3,0.3114901256732496,26736,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3909,Rattus rattus,secondary_forest,3,0.5461109828876652,30329,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3910,Rattus rattus,secondary_forest,3,0.00998859749144811,21925,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3911,Rattus rattus,secondary_forest,3,0.01124859392575928,24003,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3912,Rattus rattus,secondary_forest,3,0.00702910488742449,18210,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3913,Rattus rattus,secondary_forest,3,0.00181469383522579,19287,Core,184,3,4
Andatsakala,ASV_1,0.7948717948717948,3914,Rattus rattus,secondary_forest,3,0.14468252408099075,10174,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3915,Rattus rattus,secondary_forest,3,0.02265732781492093,18846,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3916,Rattus rattus,secondary_forest,3,0.04862050588283524,24393,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3917,Rattus rattus,secondary_forest,3,0.00872539784839621,20171,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3918,Rattus rattus,secondary_forest,3,0.13411663562114917,20937,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3919,Rattus rattus,secondary_forest,3,0.08060664460178474,23869,Core,184,3,11
Andatsakala,ASV_1,0.7948717948717948,3928,Rattus rattus,secondary_forest,3,0.01409940077546704,19859,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3929,Rattus rattus,secondary_forest,3,0.00662806643303367,13126,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3936,Rattus rattus,semi-intact_forest,3,0.00535331905781584,20548,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3937,Rattus rattus,semi-intact_forest,3,0.08355930082182637,23971,Core,184,3,12
Andatsakala,ASV_1,0.7948717948717948,3945,Rattus rattus,flooded_rice,3,0.23871912602913237,25264,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3948,Rattus rattus,flooded_rice,3,0.09001753232522464,18252,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3957,Rattus rattus,flooded_rice,3,0.00480099117237107,19371,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3959,Rattus rattus,village,3,0.00723757465330499,19758,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3960,Rattus rattus,village,3,0.04312522555034284,11084,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3962,Rattus rattus,village,3,0.033917028066443,24442,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3966,Rattus rattus,flooded_rice,3,0.03027921839803028,19089,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3968,Rattus rattus,village,3,0.06093550768404805,29802,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3969,Rattus rattus,village,3,0.02449251882207185,20986,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3970,Rattus rattus,village,3,0.03562222909578307,19398,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3972,Rattus rattus,village,3,0.00772611612306268,21615,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3973,Rattus rattus,village,3,0.32142142142142144,29970,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,3974,Rattus rattus,village,3,0.07063514668185703,24577,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3975,Rattus rattus,village,3,0.01309617795941113,21533,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3980,Rattus rattus,village,3,0.02933342803366596,28159,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3981,Rattus rattus,village,3,0.15194130235402015,26168,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3986,Rattus rattus,village,3,0.00619113133664938,18898,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,3987,Rattus rattus,village,3,0.05325747330131045,21443,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3988,Rattus rattus,village,3,0.09801583516169037,20966,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3990,Rattus rattus,flooded_rice,3,0.00458645467053967,19623,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3995,Rattus rattus,agroforest,3,0.0065642073817853,25441,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,3997,Rattus rattus,agroforest,3,0.00890683451101478,16841,Core,184,3,5
Andatsakala,ASV_1,0.7948717948717948,3999,Rattus rattus,agroforest,3,0.01958162944322114,12716,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,4004,Rattus rattus,village,3,0.00946816373939671,28411,Core,184,3,8
Andatsakala,ASV_1,0.7948717948717948,4005,Rattus rattus,agroforest,3,0.00408324552160168,22776,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,4006,Rattus rattus,agroforest,3,0.00136319376825705,25675,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,4007,Rattus rattus,agroforest,3,0.00745171095205412,20398,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,4008,Rattus rattus,agroforest,3,0.00793227964245545,16893,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,4012,Rattus rattus,village,3,0.00812237714904562,14774,Core,184,3,6
Andatsakala,ASV_1,0.7948717948717948,4013,Rattus rattus,village,3,0.03875221096639331,24876,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,4014,Rattus rattus,village,3,0.11780294665110262,31697,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,4015,Rattus rattus,village,3,0.02802707076651463,27188,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,4017,Rattus rattus,village,3,0.09940915805022156,20310,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,4018,Rattus rattus,village,3,0.46540825285338017,22780,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,4019,Rattus rattus,village,3,0.1657720634128074,8011,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,4023,Rattus rattus,village,3,0.00750111503061265,24663,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,4024,Rattus rattus,village,3,0.0719940492003613,18821,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,4025,Rattus rattus,village,3,0.3207845862774624,25899,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,4026,Rattus rattus,village,3,0.5414242547242142,22173.000000000004,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,4033,Rattus rattus,village,3,0.0586366262276141,17310,Core,184,3,1
Andatsakala,ASV_1,0.7948717948717948,4034,Rattus rattus,village,3,0.5293718166383701,5890,Core,184,3,3
Andatsakala,ASV_1,0.7948717948717948,4036,Rattus rattus,agroforest,3,0.09427865424824178,10522,Core,184,3,2
Andatsakala,ASV_1,0.7948717948717948,4037,Rattus rattus,village,3,0.01161180355811228,18774,Core,184,3,1
Andatsakala,ASV_100,0.3675213675213675,3500,Rattus rattus,brushy_regrowth,1,0.00449261926834486,28046,Core,86,1,2
Andatsakala,ASV_100,0.3675213675213675,3520,Rattus rattus,brushy_regrowth,1,0.00113594411154971,35213,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3543,Rattus rattus,agriculture,1,0.00763333221734909,29869,Core,86,1,4
Andatsakala,ASV_100,0.3675213675213675,3548,Rattus rattus,secondary_forest,1,0.00465934065934065,22750,Core,86,1,3
Andatsakala,ASV_100,0.3675213675213675,3553,Rattus rattus,secondary_forest,1,0.00454275052728354,36982,Core,86,1,3
Andatsakala,ASV_100,0.3675213675213675,3558,Rattus rattus,secondary_forest,1,0.00713527288171586,23545,Core,86,1,5
Andatsakala,ASV_100,0.3675213675213675,3563,Rattus rattus,secondary_forest,1,0.00132473726044334,22646,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3564,Rattus rattus,secondary_forest,1,0.00423500215796288,37072,Core,86,1,10
Andatsakala,ASV_100,0.3675213675213675,3567,Rattus rattus,secondary_forest,1,0.00842861809866056,30610,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3574,Rattus rattus,semi-intact_forest,1,0.00530785562632696,32028,Core,86,1,4
Andatsakala,ASV_100,0.3675213675213675,3578,Rattus rattus,semi-intact_forest,1,0.00422595277788547,25793,Core,86,1,4
Andatsakala,ASV_100,0.3675213675213675,3581,Rattus rattus,semi-intact_forest,1,0.00187189236618894,17095,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3592,Rattus rattus,agroforest,1,0.0024333788355392,33698,Core,86,1,5
Andatsakala,ASV_100,0.3675213675213675,3593,Rattus rattus,agroforest,1,0.00600500417014178,17985,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3605,Rattus rattus,agroforest,1,0.00519533438598278,19633,Core,86,1,5
Andatsakala,ASV_100,0.3675213675213675,3607,Rattus rattus,agroforest,1,0.00348629039856779,31839,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3612,Rattus rattus,agroforest,1,0.00340118787755723,19699,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3613,Rattus rattus,agroforest,1,0.00345668971126474,29508,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3621,Rattus rattus,agroforest,1,0.00371937924842888,31188,Core,86,1,3
Andatsakala,ASV_100,0.3675213675213675,3622,Rattus rattus,agroforest,1,0.00271040378066578,28778,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3638,Rattus rattus,village,1,0.00322595726775445,21389,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3641,Rattus rattus,village,1,0.00229937172096638,30878,Core,86,1,2
Andatsakala,ASV_100,0.3675213675213675,3643,Rattus rattus,village,1,0.00226213326021387,14588,Core,86,1,2
Andatsakala,ASV_100,0.3675213675213675,3646,Rattus rattus,village,1,0.00160342063067878,24323,Core,86,1,3
Andatsakala,ASV_100,0.3675213675213675,3662,Rattus rattus,brushy_regrowth,2,0.02084756236380785,30747,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3663,Rattus rattus,brushy_regrowth,2,0.00408257042875826,56582,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3673,Rattus rattus,brushy_regrowth,2,0.0053609275651415,16042,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3689,Rattus rattus,agriculture,2,0.00447113780447113,14985,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3699,Rattus rattus,agriculture,2,0.00478135272437493,30117,Core,86,1,2
Andatsakala,ASV_100,0.3675213675213675,3712,Rattus rattus,secondary_forest,2,0.00562480401379742,51024,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3726,Rattus rattus,secondary_forest,2,0.00128584287000128,7777,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3741,Rattus rattus,agroforest,2,0.00472718532168896,24962,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3742,Rattus rattus,agroforest,2,0.00138302692133438,41937,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3767,Rattus rattus,agroforest,2,0.01083365347675758,13015,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3772,Rattus rattus,agroforest,2,0.00184229918938835,10856,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3778,Rattus rattus,flooded_rice,2,0.00832635594008745,21498,Core,86,1,8
Andatsakala,ASV_100,0.3675213675213675,3779,Rattus rattus,flooded_rice,2,0.00305482821550424,25206,Core,86,1,2
Andatsakala,ASV_100,0.3675213675213675,3781,Rattus rattus,flooded_rice,2,0.00321004884856943,14330,Core,86,1,3
Andatsakala,ASV_100,0.3675213675213675,3789,Rattus rattus,village,2,0.00210245628429311,19501,Core,86,1,1
Andatsakala,ASV_100,0.3675213675213675,3791,Rattus rattus,village,2,0.00107469102632993,16749,Core,86,1,8
Andatsakala,ASV_100,0.3675213675213675,3792,Rattus rattus,village,2,0.00353176460576145,23501,Core,86,1,1
