host_ID,host_species,village,grid,season,total_reads,asv_ID,reads,asv_degree,asv_group,host_group
2755,Rattus rattus,Mandena,agroforest,3,26407,ASV_1,0.8220926269549741,129,1,64
2757,Rattus rattus,Mandena,agroforest,3,12437,ASV_1,0.20905363029669535,129,1,22
2758,Rattus rattus,Mandena,agroforest,3,17727,ASV_1,0.6662717887967508,129,1,1
2759,Rattus rattus,Mandena,agroforest,3,8335,ASV_1,0.01907618476304739,129,1,1
2766,Rattus rattus,Mandena,agroforest,3,13480,ASV_1,0.08620178041543027,129,1,1
2010,Rattus rattus,Mandena,brushy_regrowth,1,9912,ASV_2,0.07082324455205811,157,1,14
2013,Rattus rattus,Mandena,brushy_regrowth,1,7133,ASV_2,0.02663675872704332,157,1,1
2014,Rattus rattus,Mandena,brushy_regrowth,1,7610,ASV_2,0.03968462549277266,157,1,1
2016,Rattus rattus,Mandena,brushy_regrowth,1,26263,ASV_2,0.31096980542969194,157,1,1
2017,Rattus rattus,Mandena,brushy_regrowth,1,17567,ASV_2,0.14737860761655378,157,1,50
2018,Rattus rattus,Mandena,brushy_regrowth,1,14954,ASV_2,0.10572422094422898,157,1,1
2019,Rattus rattus,Mandena,brushy_regrowth,1,15486,ASV_2,0.03118946144905075,157,1,1
2029,Rattus rattus,Mandena,brushy_regrowth,1,11675,ASV_2,0.02269807280513918,157,1,29
2031,Rattus rattus,Mandena,brushy_regrowth,1,16150,ASV_2,0.02061919504643963,157,1,17
2032,Rattus rattus,Mandena,brushy_regrowth,1,13782,ASV_2,0.02662893629371644,157,1,1
2040,Rattus rattus,Mandena,brushy_regrowth,1,12978,ASV_2,0.02681460933888118,157,1,1
2053,Rattus rattus,Mandena,agriculture,1,12496,ASV_2,0.0219270166453265,157,1,19
2054,Rattus rattus,Mandena,agriculture,1,12169,ASV_2,0.06639822499794559,157,1,1
2059,Rattus rattus,Mandena,agriculture,1,23828,ASV_2,0.3490431425214034,157,1,1
2063,Rattus rattus,Mandena,agriculture,1,18523,ASV_2,0.24294120822760892,157,1,1
2064,Rattus rattus,Mandena,agriculture,1,10517,ASV_2,0.05429304934867358,157,1,26
2065,Rattus rattus,Mandena,agriculture,1,20460,ASV_2,0.01818181818181818,157,1,1
2077,Rattus rattus,Mandena,agriculture,1,26260,ASV_2,0.06511805026656511,157,1,36
2091,Rattus rattus,Mandena,agriculture,1,23179,ASV_2,0.4709003839682471,157,1,75
2092,Rattus rattus,Mandena,agriculture,1,19241,ASV_2,0.15066784470661607,157,1,60
2093,Rattus rattus,Mandena,agriculture,1,11603,ASV_2,0.10066362147720416,157,1,62
2094,Rattus rattus,Mandena,agriculture,1,3262,ASV_2,0.108522378908645,157,1,1
2096,Rattus rattus,Mandena,agriculture,1,9183,ASV_2,0.03103560927801372,157,1,4
2100,Rattus rattus,Mandena,agriculture,1,11121,ASV_2,0.13029403830590774,157,1,2
2102,Rattus rattus,Mandena,agriculture,1,17450,ASV_2,0.04126074498567335,157,1,1
2122,Rattus rattus,Mandena,secondary_forest,1,23044,ASV_2,0.11647283457733032,157,1,1
2128,Rattus rattus,Mandena,secondary_forest,1,24049.000000000004,ASV_2,0.17460185454696658,157,1,1
